طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
12:59:45 م 2026/01/03,89٫5,علوم مالية ومصرفية ,2,1,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,لا
9:52:19 م 2026/01/02,90,علم بيانات وذكاء اصطناعي ,1,5,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
1:28:08 ص 2026/01/03,90,أمن سيبراني ,2,5,5,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
3:17:11 ص 2026/01/03,90,امن سيبراني ,3,1,1,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
3:31:21 ص 2026/01/03,90,علم البيانات والذكاء الاصطناعي ,3,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
10:09:50 ص 2026/01/03,90,محاسبة وقانون تجاري,2,1,3,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
10:50:47 ص 2026/01/03,90,نظم معلومات حاسوبية ,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
12:56:43 م 2026/01/03,90,هندسة برمجيات,4,3,4,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
1:22:53 م 2026/01/03,90,اقتصاد,4,1,5,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
1:45:57 م 2026/01/03,90,ذكاء اصطناعي,4,4,4,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
2:15:19 م 2026/01/03,90,أدب انجليزي ,4,2,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,2,نعم
2:29:37 م 2026/01/03,90,تسويق رقمي,4,1,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
4:57:36 م 2026/01/03,90,صيدلة,3,4,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
7:29:06 م 2026/01/03,90,تكنولوجيا ماليه ,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
8:23:53 م 2026/01/03,90,علوم المالية والمصرفية,2,1,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
9:37:02 م 2026/01/03,90,هندسة البرمجيات ,5,1,3,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:39:44 م 2026/01/03,90,معلم صف,3,1,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,4,نعم
9:41:55 م 2026/01/03,90,اداره اعمال ,4,4,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
9:39:58 م 2026/01/02,91,ذكاء اصطناعي,3,2,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,2,لا
9:42:04 م 2026/01/02,91,هندسة كهربائية,4,1,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:23:53 م 2026/01/02,91,ذكاء اصطناعي,4,3,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
10:27:09 م 2026/01/02,91,علم الحاسوب,5,4,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
1:53:55 م 2026/01/03,91,اللغة الانجليزية وادابها ,4,1,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
2:10:51 م 2026/01/03,91,هندسة البرمجيات,5,2,3,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
2:26:01 م 2026/01/03,91,تكنولوجيا مالية,5,3,4,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
2:54:44 م 2026/01/03,91,تصوير طبي واشعاعي,5,4,1,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
11:08:03 م 2026/01/02,92,تربية خاصة ,1,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
11:59:18 ص 2026/01/03,92,علم حاسرب ,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
1:18:56 م 2026/01/03,92,الهندسة الطبية ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
1:30:31 م 2026/01/03,92,تمريض,4,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
1:54:21 م 2026/01/03,92,تمريض,2,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
4:02:36 م 2026/01/03,92,علوم الحاسوب,5,2,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
4:28:16 م 2026/01/03,92,ادب ودراسات ثقافيه باللغه الانجليزيه,2,2,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
6:49:57 م 2026/01/03,92,إدارة أعمال ,3,1,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,لا
9:07:09 م 2026/01/03,92,علم الفلك,5,3,4,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
9:36:56 م 2026/01/03,92,صيدلة,4,5,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
12:56:29 ص 2026/01/03,93,علم البيانات والذكاء الاصطناعي,4,1,2,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,نعم
3:16:29 ص 2026/01/03,93,هندسة برمجيات ,5,3,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:59:19 ص 2026/01/03,93,تمريض,4,5,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:41:20 م 2026/01/03,93,نظم معلومات إدارية ,3,1,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,لا
1:06:45 م 2026/01/03,93,الصيدلة,2,5,2,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
1:11:52 م 2026/01/03,93,ادب انجليزي ,3,1,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,لا
1:54:37 م 2026/01/03,93,هندسة مساحة,3,1,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
1:55:33 م 2026/01/03,93,هندسة الميكاترونكس ,5,3,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
2:22:17 م 2026/01/03,93,اخصائية صعوبات تعلم ,3,4,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
3:33:37 م 2026/01/03,93,تربية خاصة ,1,2,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,نعم
5:30:41 م 2026/01/03,93,اللغة العربية وآدابها ,1,1,1,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الفردي,4,لا
7:28:29 م 2026/01/03,93,علم بيانات و ذكاء اصطناعي ,3,3,2,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,3,نعم
11:41:42 م 2026/01/02,94,محاسبة,4,2,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
11:43:30 م 2026/01/02,94,هندسة بمرجيات,5,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
12:04:07 م 2026/01/03,94,علوم مالية,4,2,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
12:09:53 م 2026/01/03,94,علوم طبية مخبرية ,4,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,لا
1:04:16 م 2026/01/03,94,محاسبة وقانون تجاري,3,1,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
1:06:04 م 2026/01/03,94,محاسبة وقانون تجاري,3,2,5,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
2:20:46 م 2026/01/03,94,تسويق رقمي,5,1,4,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
3:06:39 م 2026/01/03,94,صيدلة,3,3,2,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
3:51:45 م 2026/01/03,94,تمريض,3,4,1,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:58:34 م 2026/01/03,94,هندسة صناعية,5,3,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
8:59:13 م 2026/01/03,94,علوم الحاسوب,5,3,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:38:11 م 2026/01/02,95,علم البيانات والذكاء الاصطناعي,5,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
2:17:29 ص 2026/01/03,95,علم حاسوب,2,5,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,4,لا
11:56:19 ص 2026/01/03,95,امن سيبراني,2,4,3,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
3:17:43 م 2026/01/03,95,هندسة الكترونية,5,1,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
3:19:27 م 2026/01/03,95,هندسه برمجيات ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
3:45:13 م 2026/01/03,95,علم البينات والذكاء الاصطناعي ,4,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
9:37:56 م 2026/01/02,95٫2,اللغة الإنجليزية و آدابها ,3,1,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
2:43:42 م 2026/01/03,96,علم البيانات والذكاء الاصطناعي ,2,3,1,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
11:55:09 م 2026/01/02,96٫76,الذكاء الاصطناعي ,4,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
2:14:09 ص 2026/01/03,97,تمريض,3,4,1,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
12:03:19 م 2026/01/03,97,طب اسنان ,1,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
9:47:53 م 2026/01/02,98,امن سيبراني ,4,5,5,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,نعم
11:28:50 م 2026/01/02,98,هندسة,4,5,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,نعم
1:14:05 م 2026/01/03,98,معلم صف🎀,3,1,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
3:11:35 م 2026/01/03,98٫6,هندسة صناعية ,4,2,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,2,لا
1:00:35 ص 2026/01/03,99,طب بيطري,5,5,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
12:10:51 م 2026/01/03,99,انظمه معلومات حاسوبيه ,3,4,4,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
5:16:25 م 2026/01/03,99,طب بشري,4,5,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
2:06:17 ص 2026/01/03,2.60,BIT,3,5,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
5:47:14 م 2026/01/03,2.7,هندسة برمجيات ,5,1,4,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
10:24:21 م 2026/01/02,3.05,نظم معلومات حاسوبية,3,1,4,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
2:16:28 م 2026/01/03,60.1,التصميم الداخلي ,3,4,5,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
8:35:31 ص 2026/01/03,63.2,محاسبة,3,1,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
11:55:27 ص 2026/01/03,65.20,الأمن السيبراني ,3,2,4,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,4,نعم
1:50:31 ص 2026/01/03,65.9,تكنولوجيا معلومات الاعمال ,2,4,2,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
1:15:41 م 2026/01/03,65.9,الذكاء الاصطناعي,5,5,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
12:54:15 م 2026/01/03,66.3,علم البيانات و الذكاء الاصطناعي ,1,5,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
12:52:14 م 2026/01/03,67.50,محاسبة,2,1,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
12:54:14 م 2026/01/03,69.75,تسويق وقمي,3,1,2,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
3:36:55 م 2026/01/03,70.2,علم المحافظه على الآثار ,5,2,2,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
11:54:10 ص 2026/01/03,70.3,تأهيل رياضي ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,4,نعم
2:14:00 م 2026/01/03,70.63,Risk management and insurance ,3,5,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
3:16:35 م 2026/01/03,71.5,القانون,3,2,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,1,لا
2:16:44 م 2026/01/03,71.6,تكنولوجيا مالية ,4,2,4,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
11:48:07 م 2026/01/02,72.05,Applied microbiology ,4,2,4,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
11:37:00 م 2026/01/02,72.30,التاريخ,3,3,5,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,نعم
2:11:14 م 2026/01/03,72.45,فيزياء تطبيقية,3,5,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
5:10:45 م 2026/01/03,72.5,Business information systems,5,5,5,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
12:42:02 ص 2026/01/03,73.5,هندسة البرمجيات ,5,3,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
11:59:54 ص 2026/01/03,73.5,جيولوجيا ,3,2,3,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,نعم
5:04:14 ص 2026/01/03,73.65,هندسه البرمجيات,2,5,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,3,نعم
1:32:00 م 2026/01/03,73.7,تمريض,3,4,1,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
1:19:07 م 2026/01/03,٧٣🥲,ادب عربي ,3,2,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
12:21:54 م 2026/01/03,74.4,٧٤.٤,5,1,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
1:38:04 ص 2026/01/03,74.44,محاسبه عشت,3,1,5,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
1:48:51 ص 2026/01/03,74.45,علم التمريض,2,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
4:06:07 م 2026/01/03,74.5,اللغة الإنجليزية وآدابها ,5,5,1,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:29:06 م 2026/01/03,74.5,علم البيانات والذكاء الاصطناعي ,5,5,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
8:48:02 م 2026/01/03,74.5,انظمة معلومات حاسوبية,5,1,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
11:22:44 م 2026/01/02,٧٤.٧٥,نظم المعلومات الحاسوبية,2,1,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,نعم
11:33:32 م 2026/01/02,75.5,تمريض,2,4,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
3:15:00 م 2026/01/03,75.80,إدارة موارد تراثية ومتاحف,2,4,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
11:21:21 م 2026/01/02,75.85,امن المعلومات والادله الرقميه,1,5,1,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
12:00:49 م 2026/01/03,76.15,علاقات دوليه ودراسات استراتيجيه ,4,1,5,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:42:22 م 2026/01/03,76.15,العلاقات الدولية والدراسات الاستراتيجية,3,2,4,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:51:57 م 2025/12/31,76.6,علم بيانات وذكاء اصطناعي ,2,4,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
10:48:24 م 2026/01/02,٧٦.٦,امن سيبراني,5,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,لا
11:51:58 م 2026/01/02,76.6,علم بيانات و ذكاء اصطناعي ,2,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
12:04:12 م 2026/01/03,76.7,الإدارة السياحية ,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
6:12:09 م 2026/01/03,٧٦.٨٥,3025,2,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
5:40:31 م 2026/01/03,77.35,إدارة المخاطر والتأمين ,3,2,5,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:05:47 م 2026/01/03,77.45🙂,معلم صف ,2,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
2:24:51 م 2026/01/03,77.55,تمريض,3,5,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,لا
11:54:06 ص 2026/01/03,77.8,اداره وتدريب رياضي ,2,1,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
1:19:49 م 2026/01/03,77.8,علم حاسوب,5,1,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
1:13:43 ص 2026/01/03,78.10,علم حاسوب ,4,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:25:33 م 2026/01/03,78.20,علم تمريض,5,5,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
1:30:27 م 2026/01/03,78.5,اقتصاد مالي ,2,1,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
11:18:17 م 2026/01/02,79.4,أمن معلومات وأدلة رقمية ,3,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
3:10:26 م 2026/01/03,79.5,العلوم الحياتية,4,5,1,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:50:39 م 2026/01/01,79.6,علم حاسوب ,5,1,2,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,لا
3:13:00 م 2026/01/03,79.6,أحياء,2,3,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
